country_or_region,year,variable,generation_twh
World,2000,Bioenergy,149.68
World,2000,Clean,5380.33
World,2000,Coal,5714.63
World,2000,Fossil,9598.06
World,2000,Gas,2691.5
World,2000,Hydro,2625.18
World,2000,Nuclear,2505.93
World,2000,Other Fossil,1191.93
World,2000,Other Renewables,67.3
World,2000,Solar,1.08
World,2000,Wind,31.16
World,2001,Bioenergy,145.05
World,2001,Clean,5387.2
World,2001,Coal,5800.45
World,2001,Fossil,9810.06
World,2001,Gas,2830.28
World,2001,Hydro,2564.48
World,2001,Nuclear,2572.31
World,2001,Other Fossil,1179.33
World,2001,Other Renewables,65.84
World,2001,Solar,1.35
World,2001,Wind,38.17
World,2002,Bioenergy,158.71
World,2002,Clean,5482.5
World,2002,Coal,6055.75
World,2002,Fossil,10249.42
World,2002,Gas,3034.61
World,2002,Hydro,2603.17
World,2002,Nuclear,2600.35
World,2002,Other Fossil,1159.06
World,2002,Other Renewables,66.52
World,2002,Solar,1.69
World,2002,Wind,52.06
World,2003,Bioenergy,169.87
World,2003,Clean,5486.78
World,2003,Coal,6461.59
World,2003,Fossil,10805.79
World,2003,Gas,3163.44
World,2003,Hydro,2606.15
World,2003,Nuclear,2576.19
World,2003,Other Fossil,1180.76
World,2003,Other Renewables,69.06
World,2003,Solar,2.07
World,2003,Wind,63.44
World,2004,Bioenergy,186.72
World,2004,Clean,5824.14
World,2004,Coal,6686.57
World,2004,Fossil,11255.24
World,2004,Gas,3400.97
World,2004,Hydro,2798.14
World,2004,Nuclear,2681.18
World,2004,Other Fossil,1167.7
World,2004,Other Renewables,70.12
World,2004,Solar,2.71
World,2004,Wind,85.27
World,2005,Bioenergy,209.59
World,2005,Clean,5976.71
World,2005,Coal,7030.91
World,2005,Fossil,11768.76
World,2005,Gas,3573.12
World,2005,Hydro,2902.91
World,2005,Nuclear,2685.38
World,2005,Other Fossil,1164.73
World,2005,Other Renewables,71.15
World,2005,Solar,3.78
World,2005,Wind,103.9
World,2006,Bioenergy,224.03
World,2006,Clean,6160.04
World,2006,Coal,7427.3
World,2006,Fossil,12295.7
World,2006,Gas,3791.98
World,2006,Hydro,3005.2
World,2006,Nuclear,2719.87
World,2006,Other Fossil,1076.42
World,2006,Other Renewables,73.03
World,2006,Solar,5.11
World,2006,Wind,132.8
World,2007,Bioenergy,245.69
World,2007,Clean,6213.87
World,2007,Coal,7919.28
World,2007,Fossil,13128.37
World,2007,Gas,4114.69
World,2007,Hydro,3049.54
World,2007,Nuclear,2665.34
World,2007,Other Fossil,1094.4
World,2007,Other Renewables,75.43
World,2007,Solar,6.94
World,2007,Wind,170.93
World,2008,Bioenergy,262.02
World,2008,Clean,6453.51
World,2008,Coal,7915.68
World,2008,Fossil,13182.88
World,2008,Gas,4217.95
World,2008,Hydro,3230.7
World,2008,Nuclear,2654.51
World,2008,Other Fossil,1049.25
World,2008,Other Renewables,74.81
World,2008,Solar,11.38
World,2008,Wind,220.09
World,2009,Bioenergy,285.99
World,2009,Clean,6509.3
World,2009,Coal,7807.02
World,2009,Fossil,13036.77
World,2009,Gas,4255.26
World,2009,Hydro,3232.81
World,2009,Nuclear,2617.32
World,2009,Other Fossil,974.49
World,2009,Other Renewables,78.07
World,2009,Solar,19.21
World,2009,Wind,275.9
World,2010,Bioenergy,327.93
World,2010,Clean,6882.15
World,2010,Coal,8346.96
World,2010,Fossil,14005.49
World,2010,Gas,4687.57
World,2010,Hydro,3409.23
World,2010,Nuclear,2686.63
World,2010,Other Fossil,970.96
World,2010,Other Renewables,81.06
World,2010,Solar,31.08
World,2010,Wind,346.22
World,2011,Bioenergy,348.27
World,2011,Clean,6984.24
World,2011,Coal,8807.69
World,2011,Fossil,14655.33
World,2011,Gas,4773.18
World,2011,Hydro,3476.16
World,2011,Nuclear,2576.2
World,2011,Other Fossil,1074.46
World,2011,Other Renewables,81.78
World,2011,Solar,61.93
World,2011,Wind,439.9
World,2012,Bioenergy,377.19
World,2012,Clean,7128.4
World,2012,Coal,8827.26
World,2012,Fossil,14961.24
World,2012,Gas,5011.8
World,2012,Hydro,3641.36
World,2012,Nuclear,2403.18
World,2012,Other Fossil,1122.18
World,2012,Other Renewables,82.34
World,2012,Solar,95.43
World,2012,Wind,528.9
World,2013,Bioenergy,410.95
World,2013,Clean,7455.36
World,2013,Coal,9284.01
World,2013,Fossil,15278.14
World,2013,Gas,4912.86
World,2013,Hydro,3768.39
World,2013,Nuclear,2419.42
World,2013,Other Fossil,1081.27
World,2013,Other Renewables,85.09
World,2013,Solar,131.45
World,2013,Wind,640.06
World,2014,Bioenergy,446.22
World,2014,Clean,7776.93
World,2014,Coal,9453.32
World,2014,Fossil,15521.01
World,2014,Gas,5047.91
World,2014,Hydro,3860.08
World,2014,Nuclear,2468.28
World,2014,Other Fossil,1019.78
World,2014,Other Renewables,89.65
World,2014,Solar,195.9
World,2014,Wind,716.8
World,2015,Bioenergy,477.75
World,2015,Clean,8022.77
World,2015,Coal,9134.76
World,2015,Fossil,15541.6
World,2015,Gas,5379.57
World,2015,Hydro,3869.91
World,2015,Nuclear,2501.5
World,2015,Other Fossil,1027.27
World,2015,Other Renewables,90.3
World,2015,Solar,254.23
World,2015,Wind,829.08
World,2016,Bioenergy,490.01
World,2016,Clean,8402.23
World,2016,Coal,9186.42
World,2016,Fossil,15794.53
World,2016,Gas,5625.7
World,2016,Hydro,3999.9
World,2016,Nuclear,2533.12
World,2016,Other Fossil,982.41
World,2016,Other Renewables,91.31
World,2016,Solar,328.48
World,2016,Wind,959.41
World,2017,Bioenergy,516.24
World,2017,Clean,8786.45
World,2017,Coal,9476.27
World,2017,Fossil,16090.55
World,2017,Gas,5729.38
World,2017,Hydro,4049.15
World,2017,Nuclear,2548.19
World,2017,Other Fossil,884.9
World,2017,Other Renewables,92.64
World,2017,Solar,443.29
World,2017,Wind,1136.94
World,2018,Bioenergy,549.2
World,2018,Clean,9280.96
World,2018,Coal,9837.67
World,2018,Fossil,16573.16
World,2018,Gas,5859.29
World,2018,Hydro,4170.02
World,2018,Nuclear,2620.13
World,2018,Other Fossil,876.2
World,2018,Other Renewables,105.38
World,2018,Solar,567.8
World,2018,Wind,1268.43
World,2019,Bioenergy,579.77
World,2019,Clean,9746.46
World,2019,Coal,9617.54
World,2019,Fossil,16544.52
World,2019,Gas,6083.4
World,2019,Hydro,4219.16
World,2019,Nuclear,2723.79
World,2019,Other Fossil,843.58
World,2019,Other Renewables,109.15
World,2019,Solar,694.5
World,2019,Wind,1420.09
World,2020,Bioenergy,609.93
World,2020,Clean,10082.09
World,2020,Coal,9214.62
World,2020,Fossil,16024.75
World,2020,Gas,6016.79
World,2020,Hydro,4311.81
World,2020,Nuclear,2635.81
World,2020,Other Fossil,793.34
World,2020,Other Renewables,102.97
World,2020,Solar,834.63
World,2020,Wind,1586.94
World,2021,Bioenergy,644.13
World,2021,Clean,10525.97
World,2021,Coal,10058.82
World,2021,Fossil,17023.04
World,2021,Gas,6115.09
World,2021,Hydro,4205.31
World,2021,Nuclear,2735.5
World,2021,Other Fossil,849.13
World,2021,Other Renewables,104.43
World,2021,Solar,1023.22
World,2021,Wind,1813.38
